Auction Date,Issue Date
05/11/1989,05/15/1989
02/04/1988,02/16/1988
11/05/1987,11/16/1987
02/05/1987,02/17/1987
08/07/1986,08/15/1986
05/09/1985,05/15/1985
02/09/1984,02/15/1984
11/10/1983,11/15/1983
05/05/1983,05/16/1983
02/03/1983,02/15/1983
02/04/1982,02/16/1982
08/06/1981,08/17/1981
02/05/1981,02/17/1981
08/07/1980,08/15/1980
05/20/2020,06/01/2020
01/26/2009,01/30/2009
01/24/2008,01/31/2008
01/23/2007,01/31/2007
01/24/2006,01/31/2006
01/25/2005,01/31/2005
07/27/2004,07/30/2004
01/08/1986,01/15/1986
06/27/1985,07/02/1985
03/28/1985,04/02/1985
10/23/1984,10/30/1984
07/05/1984,07/10/1984
03/29/1984,04/05/1984
09/22/1983,10/05/1983
06/23/1983,07/05/1983
03/24/1983,04/04/1983
12/22/1982,01/04/1983
09/23/1982,09/29/1982
12/30/1981,01/06/1982
09/30/1981,10/07/1981
06/25/1981,07/02/1981
03/26/1981,04/02/1981
01/06/1981,01/12/1981
